﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2017,00:00,01-Dec-2017,00:15,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",1.1,85.0,,,18.1,66.0,34.0,747.0,,,390.0,284.0,22.3,106.9,75.0,3.14,,10.6,,11.6,64.6,,37.3,,,,,59.4,25.5,25.8,,0.0,,,,,,,
01-Dec-2017,00:15,01-Dec-2017,00:30,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",0.8,100.0,,,17.9,67.0,38.0,747.0,,,390.0,284.0,29.1,117.0,85.8,3.07,,8.3,,11.0,61.7,,34.5,,,,,58.1,26.1,27.2,,0.0,,,,,,,
01-Dec-2017,00:30,01-Dec-2017,00:45,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",0.7,107.0,,,17.8,67.0,40.0,746.0,,,390.0,284.0,18.1,100.9,68.4,2.79,,15.8,,10.5,60.2,,32.9,,,,,59.4,26.1,26.7,,0.0,,,,,,,
01-Dec-2017,00:45,01-Dec-2017,01:00,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",0.7,124.0,,,17.6,68.0,41.0,746.0,,,358.0,258.0,10.9,84.6,53.9,2.62,,20.3,,10.0,57.6,,31.0,,,,,54.0,24.8,26.0,,0.0,,,,,,,
01-Dec-2017,01:00,01-Dec-2017,01:15,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",0.6,102.0,,,17.4,70.0,43.0,746.0,,,358.0,258.0,9.9,82.3,51.9,2.61,,18.7,,9.5,55.5,,29.5,,,,,53.0,23.8,25.5,,0.0,,,,,,,
01-Dec-2017,01:15,01-Dec-2017,01:30,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",0.8,108.0,,,17.2,70.0,42.0,746.0,,,358.0,258.0,9.3,75.2,47.6,2.5,,24.9,,9.1,52.9,,27.3,,,,,53.3,24.1,25.4,,0.0,,,,,,,
01-Dec-2017,01:30,01-Dec-2017,01:45,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",1.0,112.0,,,17.1,70.0,44.0,746.0,,,358.0,258.0,8.7,65.6,42.0,2.36,,29.7,,8.9,51.8,,26.2,,,,,53.2,23.6,26.0,,0.0,,,,,,,
01-Dec-2017,01:45,01-Dec-2017,02:00,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",0.9,122.0,,,17.1,70.0,44.0,746.0,,,372.0,263.0,7.7,54.2,35.0,2.27,,34.9,,8.6,49.9,,24.3,,,,,50.3,21.1,24.7,,0.0,,,,,,,
01-Dec-2017,02:00,01-Dec-2017,02:15,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",0.8,111.0,,,17.0,71.0,45.0,746.0,,,372.0,263.0,6.7,47.2,30.5,2.22,,38.1,,8.1,47.7,,22.5,,,,,45.6,19.1,22.3,,0.0,,,,,,,
01-Dec-2017,02:15,01-Dec-2017,02:30,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",0.4,118.0,,,16.8,72.0,45.0,746.0,,,372.0,263.0,6.3,45.8,29.5,2.46,,35.4,,7.6,46.0,,20.6,,,,,45.5,17.3,20.9,,0.0,,,,,,,
