﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Feb-2011,00:00,01-Feb-2011,00:15,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,00:15,01-Feb-2011,00:30,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,00:30,01-Feb-2011,00:45,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,00:45,01-Feb-2011,01:00,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,01:00,01-Feb-2011,01:15,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,01:15,01-Feb-2011,01:30,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,01:30,01-Feb-2011,01:45,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,01:45,01-Feb-2011,02:00,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,02:00,01-Feb-2011,02:15,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,02:15,01-Feb-2011,02:30,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,02:30,01-Feb-2011,02:45,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,02:45,01-Feb-2011,03:00,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,03:00,01-Feb-2011,03:15,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,03:15,01-Feb-2011,03:30,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,03:30,01-Feb-2011,03:45,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,03:45,01-Feb-2011,04:00,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,04:00,01-Feb-2011,04:15,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,04:15,01-Feb-2011,04:30,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,04:30,01-Feb-2011,04:45,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2011,04:45,01-Feb-2011,05:00,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
