﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Nov-2013,00:00,01-Nov-2013,00:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1009.09,,,52.09,59.09,25.98,,59.32,0.78,1765.01,,,,74.9,49.07,72.72,70.02,26.7
01-Nov-2013,00:15,01-Nov-2013,00:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1009.07,,,51.49,59.1,26.02,,43.67,0.82,1564.61,,,,70.56,43.54,72.29,69.76,25.48
01-Nov-2013,00:30,01-Nov-2013,00:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1009.12,,,51.64,59.1,25.93,,21.03,0.8,1643.12,,,,67.65,39.82,72.02,69.26,25.01
01-Nov-2013,00:45,01-Nov-2013,01:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1009.12,,,51.46,59.13,25.89,,59.98,0.69,1421.66,,,,66.68,38.52,72.02,69.3,25.64
01-Nov-2013,01:00,01-Nov-2013,01:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1009.07,,,52.98,59.16,25.74,,89.73,0.95,2260.24,,,,85.3,61.97,74.31,71.44,19.98
01-Nov-2013,01:15,01-Nov-2013,01:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1009.06,,,57.49,59.14,25.27,,110.39,1.05,2306.71,,,,64.36,37.95,68.13,65.84,27.94
01-Nov-2013,01:30,01-Nov-2013,01:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.97,,,61.9,59.1,24.8,,84.08,1.07,2044.47,,,,41.15,12.95,58.8,57.44,28.66
01-Nov-2013,01:45,01-Nov-2013,02:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.99,,,64.0,58.9,24.67,,67.48,0.81,1912.26,,,,31.12,7.77,46.17,46.13,28.35
01-Nov-2013,02:00,01-Nov-2013,02:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.97,,,64.78,58.68,24.62,,77.3,0.68,1680.87,,,,23.97,6.61,33.27,34.5,28.88
01-Nov-2013,02:15,01-Nov-2013,02:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.96,,,65.64,58.7,24.6,,94.69,0.65,1470.16,,,,23.81,6.45,33.2,34.48,25.25
01-Nov-2013,02:30,01-Nov-2013,02:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1009.01,,,65.17,58.67,24.65,,83.15,0.79,1379.24,,,,33.37,9.15,48.67,48.72,25.46
01-Nov-2013,02:45,01-Nov-2013,03:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.9,,,65.39,58.73,24.68,,97.2,0.71,1141.91,,,,27.04,6.23,40.14,40.68,23.55
01-Nov-2013,03:00,01-Nov-2013,03:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.92,,,65.44,58.79,24.74,,109.2,0.78,1545.51,,,,28.44,6.84,42.08,42.46,23.34
01-Nov-2013,03:15,01-Nov-2013,03:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.91,,,64.76,58.75,24.76,,116.44,1.05,1325.4,,,,32.66,7.57,49.61,49.04,22.73
01-Nov-2013,03:30,01-Nov-2013,03:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.8,,,61.26,58.74,24.78,,72.75,1.16,1461.03,,,,31.53,8.64,45.67,45.74,23.94
01-Nov-2013,03:45,01-Nov-2013,04:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.49,,,59.95,58.77,24.78,,76.73,1.13,1676.06,,,,24.56,6.75,34.28,35.42,23.84
01-Nov-2013,04:00,01-Nov-2013,04:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.42,,,60.45,58.75,24.65,3.47,96.2,1.1,1587.04,1.13,,,20.49,6.44,26.38,28.24,24.33
01-Nov-2013,04:15,01-Nov-2013,04:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.41,,,61.51,58.76,24.52,8.29,65.57,1.08,1513.53,2.74,,,18.78,6.24,23.21,25.39,21.78
01-Nov-2013,04:30,01-Nov-2013,04:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.44,,,63.79,58.8,24.29,6.61,136.22,1.03,1382.76,2.29,,,18.65,6.15,23.07,25.23,20.96
01-Nov-2013,04:45,01-Nov-2013,05:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.37,,,64.26,58.84,24.25,6.01,82.23,0.96,935.94,2.25,,,20.9,6.45,27.21,28.98,20.37
01-Nov-2013,05:00,01-Nov-2013,05:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.32,,,64.11,58.85,24.23,5.34,70.03,1.04,1563.2,2.23,,,22.58,7.69,28.76,30.42,18.59
01-Nov-2013,05:15,01-Nov-2013,05:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.38,,,64.77,58.88,24.08,5.74,69.66,0.93,1214.67,1.92,,,17.96,6.07,21.78,24.26,20.61
01-Nov-2013,05:30,01-Nov-2013,05:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.33,,,64.51,58.9,24.11,5.47,60.59,0.92,1464.47,1.74,,,18.01,6.25,21.62,23.97,22.2
01-Nov-2013,05:45,01-Nov-2013,06:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.29,,,65.06,58.94,24.03,4.99,76.45,1.08,1268.57,1.84,,,17.91,6.1,21.64,24.12,21.4
01-Nov-2013,06:00,01-Nov-2013,06:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.36,,,65.81,59.0,23.89,5.16,123.95,1.1,1350.91,2.46,,,22.4,7.7,28.39,29.9,20.96
01-Nov-2013,06:15,01-Nov-2013,06:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.34,,,66.19,59.36,23.81,5.76,67.18,1.01,1305.77,2.46,,,18.41,6.18,22.53,24.82,20.45
01-Nov-2013,06:30,01-Nov-2013,06:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.25,,,65.83,61.19,23.87,5.89,73.96,1.01,1484.72,2.22,,,21.57,6.64,28.3,29.98,21.29
01-Nov-2013,06:45,01-Nov-2013,07:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.21,,,65.5,67.29,23.95,5.22,59.36,1.1,770.6,2.28,,,25.75,6.88,36.51,37.32,20.46
01-Nov-2013,07:00,01-Nov-2013,07:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.23,,,65.95,75.56,24.01,5.73,84.36,0.97,985.57,2.97,,,27.44,7.75,38.66,39.34,20.35
01-Nov-2013,07:15,01-Nov-2013,07:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.26,,,67.09,87.69,24.02,4.37,95.14,0.89,1278.4,3.47,,,35.22,11.46,48.91,48.56,19.42
01-Nov-2013,07:30,01-Nov-2013,07:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.33,,,66.44,102.82,24.26,,74.34,0.86,1394.12,3.82,,,44.05,18.27,56.61,55.6,20.55
01-Nov-2013,07:45,01-Nov-2013,08:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.41,,,65.11,119.95,24.41,,74.21,1.09,1370.72,2.65,,,34.68,12.06,46.88,46.77,20.35
01-Nov-2013,08:00,01-Nov-2013,08:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.41,,,64.3,131.76,24.48,,53.68,1.09,1335.08,,,,27.88,8.76,38.0,38.78,21.8
01-Nov-2013,08:15,01-Nov-2013,08:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.41,,,62.69,156.01,24.74,,91.01,1.09,1366.38,,,,26.56,8.53,35.64,36.7,20.53
01-Nov-2013,08:30,01-Nov-2013,08:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.48,,,60.96,176.99,25.03,3.69,80.06,1.14,1549.43,1.77,,,24.61,8.47,31.74,33.12,21.19
01-Nov-2013,08:45,01-Nov-2013,09:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.41,,,60.47,184.84,25.31,9.21,49.75,1.06,945.83,4.25,,,23.13,8.05,29.35,30.94,21.15
01-Nov-2013,09:00,01-Nov-2013,09:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.51,,,58.32,206.72,25.75,8.72,43.35,1.1,1167.25,3.56,,,22.83,7.9,28.98,30.69,19.76
01-Nov-2013,09:15,01-Nov-2013,09:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.6,,,56.32,218.71,26.19,9.25,41.48,1.1,1402.82,3.88,,,25.5,7.8,34.58,35.58,22.45
01-Nov-2013,09:30,01-Nov-2013,09:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.64,,,55.42,163.35,26.6,9.65,24.91,1.1,1414.12,4.35,,,27.29,7.72,38.39,39.06,22.49
01-Nov-2013,09:45,01-Nov-2013,10:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.55,,,56.97,93.68,26.23,11.76,58.64,0.85,1718.63,5.7,,,28.24,7.14,41.22,41.77,23.03
01-Nov-2013,10:00,01-Nov-2013,10:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.38,,,64.41,136.32,25.7,17.1,48.59,0.9,1410.66,8.91,,,39.94,10.44,60.15,58.84,24.3
01-Nov-2013,10:15,01-Nov-2013,10:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.31,,,64.45,181.61,25.75,19.12,45.91,0.84,1496.69,9.84,,,41.82,12.22,61.29,59.77,23.51
01-Nov-2013,10:30,01-Nov-2013,10:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.52,,,61.0,388.28,26.67,16.43,55.59,0.88,924.11,8.74,,,43.23,13.63,62.01,60.39,23.79
01-Nov-2013,10:45,01-Nov-2013,11:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.63,,,56.72,387.22,27.6,,55.04,1.09,1165.16,9.02,,,52.59,18.75,73.36,70.55,24.89
01-Nov-2013,11:00,01-Nov-2013,11:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.59,,,52.53,405.85,27.81,,29.25,1.22,1544.81,7.42,,,48.81,16.97,68.35,66.09,26.78
01-Nov-2013,11:15,01-Nov-2013,11:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.53,,,52.18,364.0,28.18,,38.98,0.96,1276.92,,,,54.81,22.3,72.5,69.72,28.98
01-Nov-2013,11:30,01-Nov-2013,11:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.52,,,50.82,366.51,28.55,,50.76,1.32,1384.84,,,,36.73,11.58,51.83,51.24,33.62
01-Nov-2013,11:45,01-Nov-2013,12:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.5,,,50.5,296.1,28.57,,49.47,1.27,1547.26,,,,28.85,8.69,40.11,40.59,36.44
01-Nov-2013,12:00,01-Nov-2013,12:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.45,,,50.47,254.34,28.8,,45.08,1.1,1584.18,,,,25.11,7.84,33.73,34.96,35.1
01-Nov-2013,12:15,01-Nov-2013,12:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.45,,,49.9,278.58,29.15,,29.68,1.08,1534.08,,,,24.26,7.23,32.92,34.12,30.31
01-Nov-2013,12:30,01-Nov-2013,12:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.36,,,49.62,278.64,29.22,,64.35,1.14,1701.48,,,,23.82,6.85,32.61,33.98,31.56
01-Nov-2013,12:45,01-Nov-2013,13:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.29,,,49.89,243.48,29.34,,45.52,1.02,1083.62,,,,24.87,6.94,34.62,35.8,31.17
01-Nov-2013,13:00,01-Nov-2013,13:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.2,,,50.41,168.04,29.18,,59.45,0.94,1689.83,,,,24.95,6.72,35.12,36.2,25.14
01-Nov-2013,13:15,01-Nov-2013,13:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.14,,,49.99,232.6,29.32,,100.12,0.85,1616.9,,,,25.64,6.76,36.47,37.35,24.57
01-Nov-2013,13:30,01-Nov-2013,13:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.18,,,48.78,249.75,29.77,,88.71,0.87,1643.93,,,,23.37,6.45,32.3,33.58,26.62
01-Nov-2013,13:45,01-Nov-2013,14:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.22,,,49.12,227.71,29.96,,61.24,0.87,1439.89,,,,19.7,5.93,25.55,27.54,25.31
01-Nov-2013,14:00,01-Nov-2013,14:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.36,,,50.12,187.86,29.79,,81.08,0.79,1439.11,,,,18.8,6.2,23.3,25.5,25.08
01-Nov-2013,14:15,01-Nov-2013,14:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.44,,,50.15,181.67,29.7,,40.89,0.71,1451.78,,,,18.12,6.09,22.08,24.46,22.84
01-Nov-2013,14:30,01-Nov-2013,14:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.49,,,49.43,166.1,29.78,,125.15,0.59,1087.76,,,,16.85,5.81,19.9,22.46,25.11
01-Nov-2013,14:45,01-Nov-2013,15:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.63,,,49.16,174.83,30.02,,62.88,0.57,875.82,,,,19.33,6.08,24.58,26.82,23.39
01-Nov-2013,15:00,01-Nov-2013,15:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.72,,,49.63,197.52,30.05,,92.44,0.77,1183.16,1.1,,,17.48,6.17,20.64,23.2,21.07
01-Nov-2013,15:15,01-Nov-2013,15:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.55,,,50.7,157.55,29.98,,80.47,0.63,1404.06,2.85,,,19.03,6.11,23.92,26.14,17.53
01-Nov-2013,15:30,01-Nov-2013,15:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.41,,,50.26,152.73,30.18,3.18,70.05,0.52,1264.79,2.92,,,20.22,5.98,26.55,28.44,18.99
01-Nov-2013,15:45,01-Nov-2013,16:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.6,,,51.26,128.6,30.16,8.63,48.91,0.53,1557.58,2.96,,,21.75,6.04,29.6,31.28,17.46
01-Nov-2013,16:00,01-Nov-2013,16:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.58,,,54.32,114.42,29.85,11.36,25.63,0.46,1582.66,3.2,,,26.34,5.93,39.18,39.92,17.09
01-Nov-2013,16:15,01-Nov-2013,16:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.59,,,53.84,98.38,29.45,14.84,47.67,0.55,1510.65,3.6,,,25.2,5.97,36.77,37.74,12.59
01-Nov-2013,16:30,01-Nov-2013,16:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.5,,,56.23,87.45,29.0,10.68,12.39,0.51,1188.47,4.39,,,28.92,5.65,44.9,44.88,15.55
01-Nov-2013,16:45,01-Nov-2013,17:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.45,,,57.92,78.57,28.6,,20.97,0.44,1495.31,3.66,,,27.88,5.45,43.06,43.32,13.21
01-Nov-2013,17:00,01-Nov-2013,17:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.44,,,61.41,71.89,28.04,,9.91,0.42,2888.52,,,,31.05,6.07,48.63,48.33,15.14
01-Nov-2013,17:15,01-Nov-2013,17:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.47,,,63.2,66.84,27.67,,3.25,0.46,3182.65,,,,37.33,6.45,60.92,59.39,16.37
01-Nov-2013,17:30,01-Nov-2013,17:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.37,,,65.14,64.36,27.35,,60.76,0.44,3604.0,0.57,,,43.86,7.16,73.21,70.2,19.33
01-Nov-2013,17:45,01-Nov-2013,18:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.58,,,63.53,63.48,27.33,,30.68,0.45,4549.94,1.07,,,41.3,8.41,66.05,63.82,23.18
01-Nov-2013,18:00,01-Nov-2013,18:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.94,,,65.27,63.19,27.1,55.03,53.97,0.42,4643.63,8.17,,,46.41,8.65,76.16,54.23,26.84
01-Nov-2013,18:15,01-Nov-2013,18:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.68,,,68.12,63.18,26.71,137.34,32.93,0.53,4547.99,21.62,,,53.1,10.4,87.19,36.17,27.2
01-Nov-2013,18:30,01-Nov-2013,18:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.62,,,65.28,63.22,26.94,132.49,134.95,0.58,3624.1,24.98,,,63.09,20.02,92.95,68.87,28.45
01-Nov-2013,18:45,01-Nov-2013,19:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.8,,,66.06,63.25,26.96,141.99,137.75,0.62,2504.49,28.48,,,61.68,20.44,89.42,62.34,28.17
01-Nov-2013,19:00,01-Nov-2013,19:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.77,,,67.64,63.29,26.8,136.09,121.22,0.54,3436.29,27.73,,,56.52,18.15,82.36,59.81,28.09
01-Nov-2013,19:15,01-Nov-2013,19:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.12,,,70.83,63.3,26.49,145.53,110.22,0.58,3219.85,23.8,,,57.34,22.7,77.07,51.84,29.08
01-Nov-2013,19:30,01-Nov-2013,19:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.38,,,71.59,63.31,26.35,180.53,146.35,0.47,3178.65,22.95,,,58.43,29.0,69.67,54.67,29.75
01-Nov-2013,19:45,01-Nov-2013,20:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.44,,,73.73,63.32,26.02,196.84,138.38,0.51,3247.43,26.2,,,58.65,32.52,64.74,62.02,30.5
01-Nov-2013,20:00,01-Nov-2013,20:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.3,,,73.44,63.34,26.11,142.89,99.74,0.57,3135.63,20.1,,,63.7,41.75,60.95,52.43,32.21
01-Nov-2013,20:15,01-Nov-2013,20:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.28,,,73.25,63.36,26.07,,78.87,0.52,3221.91,1.38,,,66.01,46.89,57.82,66.57,31.74
01-Nov-2013,20:30,01-Nov-2013,20:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.23,,,74.56,63.4,25.92,,120.51,0.51,2444.53,1.08,,,66.12,47.62,56.94,66.44,33.04
01-Nov-2013,20:45,01-Nov-2013,21:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.05,,,76.57,63.41,25.7,,133.27,0.42,1837.74,1.21,,,69.38,52.83,55.66,62.77,33.1
01-Nov-2013,21:00,01-Nov-2013,21:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.93,,,79.86,63.43,25.29,47.2,74.55,0.52,2769.65,8.14,,,71.16,56.39,53.86,64.7,26.12
01-Nov-2013,21:15,01-Nov-2013,21:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.93,,,81.62,63.47,25.13,89.05,82.53,0.49,2929.9,27.65,,,72.45,60.06,50.88,65.71,17.05
01-Nov-2013,21:30,01-Nov-2013,21:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.87,,,82.03,63.53,25.07,50.65,116.52,0.47,2906.45,29.07,,,71.19,60.37,47.84,64.18,18.65
01-Nov-2013,21:45,01-Nov-2013,22:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.78,,,85.37,63.5,24.87,99.48,110.34,0.42,2940.45,31.19,,,70.73,61.9,44.54,66.11,19.62
01-Nov-2013,22:00,01-Nov-2013,22:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.78,,,86.8,63.55,24.75,34.91,19.75,0.46,2883.8,33.73,,,75.22,68.78,43.23,66.34,20.98
01-Nov-2013,22:15,01-Nov-2013,22:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.85,,,87.28,63.58,24.61,138.19,112.74,0.44,2937.39,35.23,,,85.66,81.35,45.4,67.62,22.24
01-Nov-2013,22:30,01-Nov-2013,22:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.91,,,87.5,63.58,24.63,140.55,102.75,0.44,2091.16,34.17,,,90.03,87.96,44.25,65.75,22.21
01-Nov-2013,22:45,01-Nov-2013,23:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.86,,,88.73,63.61,24.49,133.12,175.9,0.44,2261.84,33.82,,,103.36,102.28,49.67,66.53,23.58
01-Nov-2013,23:00,01-Nov-2013,23:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.05,,,90.08,63.61,24.3,94.4,56.25,0.5,2923.66,42.04,,,110.72,112.85,48.58,74.46,24.0
01-Nov-2013,23:15,01-Nov-2013,23:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.07,,,87.22,63.59,24.52,,119.57,0.46,2629.58,38.5,,,106.96,108.43,47.63,62.18,24.4
01-Nov-2013,23:30,01-Nov-2013,23:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.0,,,90.26,64.11,24.18,,107.88,0.42,2188.24,1.59,,,108.7,110.57,47.92,57.66,24.6
01-Nov-2013,23:45,02-Nov-2013,00:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.98,,,92.31,63.48,24.01,,44.88,0.42,2136.87,1.44,,,111.48,113.96,48.44,59.07,23.82
02-Nov-2013,00:00,02-Nov-2013,00:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.93,,,87.19,63.46,24.52,,59.27,0.54,1653.47,0.82,,,104.13,104.36,48.06,64.14,23.45
02-Nov-2013,00:15,02-Nov-2013,00:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.88,,,85.82,63.42,24.63,,163.89,0.58,1083.51,,,,90.59,88.58,44.43,59.48,23.71
02-Nov-2013,00:30,02-Nov-2013,00:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.89,,,88.58,63.42,24.38,,119.82,0.51,920.39,,,,83.85,80.6,42.84,54.38,23.41
02-Nov-2013,00:45,02-Nov-2013,01:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.85,,,90.99,63.43,24.07,,128.92,0.51,2079.67,,,,81.81,76.96,44.22,53.62,24.24
02-Nov-2013,01:00,02-Nov-2013,01:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.8,,,94.07,63.4,23.73,,111.52,0.45,2993.7,,,,85.47,82.09,43.89,60.63,20.94
02-Nov-2013,01:15,02-Nov-2013,01:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.77,,,95.77,63.28,23.49,,45.82,0.5,2779.36,1.3,,,99.81,103.06,41.18,51.23,20.71
02-Nov-2013,01:30,02-Nov-2013,01:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.85,,,96.58,63.27,23.5,,24.74,0.42,3115.02,2.44,,,112.71,119.02,43.23,49.41,22.03
02-Nov-2013,01:45,02-Nov-2013,02:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.93,,,96.86,63.25,23.56,,131.28,0.85,2814.7,,,,125.0,134.53,44.69,60.41,22.2
02-Nov-2013,02:00,02-Nov-2013,02:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.99,,,93.77,63.25,23.85,,118.43,0.85,2716.99,,,,114.77,122.27,42.48,61.87,21.89
02-Nov-2013,02:15,02-Nov-2013,02:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.65,,,93.61,63.25,23.75,,73.87,0.77,2197.08,,,,97.81,101.16,40.0,48.64,20.84
02-Nov-2013,02:30,02-Nov-2013,02:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.42,,,92.3,63.27,23.7,,69.48,0.78,1119.07,,,,82.52,80.18,40.75,35.57,20.15
02-Nov-2013,02:45,02-Nov-2013,03:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.32,,,93.04,63.25,23.69,2.76,74.98,0.72,1345.21,3.04,,,77.75,73.07,41.86,38.24,20.84
02-Nov-2013,03:00,02-Nov-2013,03:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.3,,,92.66,63.28,23.61,6.11,112.02,0.65,1965.72,7.75,,,76.39,70.86,42.43,36.64,20.77
02-Nov-2013,03:15,02-Nov-2013,03:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.3,,,94.48,63.29,23.32,11.02,182.34,0.42,2430.4,7.71,,,73.35,69.72,37.94,37.99,19.65
02-Nov-2013,03:30,02-Nov-2013,03:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.18,,,97.78,63.28,22.91,31.76,108.87,0.46,2159.06,7.57,,,72.96,68.31,39.31,13.79,20.99
02-Nov-2013,03:45,02-Nov-2013,04:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.14,,,97.93,63.23,22.79,29.42,46.86,0.42,1963.27,7.35,,,77.23,74.23,39.0,56.26,21.73
02-Nov-2013,04:00,02-Nov-2013,04:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.94,,,96.98,63.3,22.73,29.72,47.47,0.44,1884.36,7.39,,,75.35,73.34,36.52,57.56,21.34
02-Nov-2013,04:15,02-Nov-2013,04:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.87,,,96.75,63.3,22.66,31.94,56.72,0.42,1780.31,7.2,,,67.68,64.03,35.03,48.77,21.91
02-Nov-2013,04:30,02-Nov-2013,04:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.88,,,96.91,63.33,22.61,30.75,70.61,0.42,1282.01,6.99,,,63.81,55.67,39.89,40.73,22.49
02-Nov-2013,04:45,02-Nov-2013,05:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.86,,,96.69,63.39,22.52,28.46,66.12,0.42,1322.01,6.91,,,56.84,48.98,35.85,52.44,22.4
02-Nov-2013,05:00,02-Nov-2013,05:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.94,,,96.77,63.43,22.53,27.03,126.06,0.42,1948.14,6.34,,,54.52,45.04,37.13,41.3,20.67
02-Nov-2013,05:15,02-Nov-2013,05:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.06,,,97.88,63.45,22.49,26.55,99.27,0.45,1938.49,6.13,,,61.12,50.42,42.4,50.53,21.5
02-Nov-2013,05:30,02-Nov-2013,05:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1008.04,,,97.4,63.5,22.59,26.25,127.0,0.46,2056.96,6.36,,,61.36,56.23,34.02,43.92,22.23
02-Nov-2013,05:45,02-Nov-2013,06:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.99,,,96.93,63.53,22.57,28.02,87.5,0.43,1864.58,6.57,,,64.22,57.28,38.27,43.54,22.67
02-Nov-2013,06:00,02-Nov-2013,06:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.98,,,96.56,63.55,22.54,29.74,95.23,0.44,1879.92,7.1,,,59.08,50.5,38.12,55.54,23.24
02-Nov-2013,06:15,02-Nov-2013,06:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",,1007.97,,,96.31,63.74,22.45,29.98,60.9,0.46,2058.56,6.55,,,47.48,39.02,31.88,38.14,22.78
