﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Feb-2013,00:00,01-Feb-2013,00:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.29,0.0,,,50.46,55.42,105.84,6.74,
01-Feb-2013,00:15,01-Feb-2013,00:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.64,0.0,,,55.02,65.79,120.73,7.54,
01-Feb-2013,00:30,01-Feb-2013,00:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,6.13,0.0,,,64.45,84.39,148.77,7.89,
01-Feb-2013,00:45,01-Feb-2013,01:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,6.17,0.0,,,63.04,86.05,149.06,7.76,
01-Feb-2013,01:00,01-Feb-2013,01:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,6.24,0.0,,,64.17,93.55,157.7,7.68,
01-Feb-2013,01:15,01-Feb-2013,01:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.79,0.0,,,62.31,90.21,152.58,7.06,
01-Feb-2013,01:30,01-Feb-2013,01:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.12,0.0,,,53.55,74.8,128.43,6.05,
01-Feb-2013,01:45,01-Feb-2013,02:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.61,0.0,,,44.38,61.49,105.92,5.3,
01-Feb-2013,02:00,01-Feb-2013,02:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.83,0.0,,,46.53,67.24,113.67,5.58,
01-Feb-2013,02:15,01-Feb-2013,02:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.72,0.0,,,50.49,72.7,123.25,5.72,
01-Feb-2013,02:30,01-Feb-2013,02:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.58,0.0,,,45.41,68.05,113.48,5.26,
01-Feb-2013,02:45,01-Feb-2013,03:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.53,0.0,,,44.3,65.79,110.14,5.36,
01-Feb-2013,03:00,01-Feb-2013,03:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.28,0.0,,,39.85,59.29,99.17,5.2,
01-Feb-2013,03:15,01-Feb-2013,03:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.14,0.0,,,36.14,55.31,91.46,4.9,
01-Feb-2013,03:30,01-Feb-2013,03:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.75,0.0,,,31.55,48.44,80.0,4.57,
01-Feb-2013,03:45,01-Feb-2013,04:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.53,0.0,,,30.42,44.9,75.37,4.42,
01-Feb-2013,04:00,01-Feb-2013,04:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.3,0.0,,,28.18,40.46,68.63,4.1,
01-Feb-2013,04:15,01-Feb-2013,04:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.18,0.0,,,25.73,38.55,64.31,3.97,
01-Feb-2013,04:30,01-Feb-2013,04:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.09,0.0,,,24.51,36.88,61.37,4.28,
01-Feb-2013,04:45,01-Feb-2013,05:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.33,0.0,,,26.55,41.38,67.9,4.45,
01-Feb-2013,05:00,01-Feb-2013,05:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.46,0.0,,,28.42,44.44,72.87,4.65,
01-Feb-2013,05:15,01-Feb-2013,05:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.42,0.0,,,27.78,44.95,72.72,4.79,
01-Feb-2013,05:30,01-Feb-2013,05:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.3,0.0,,,26.33,42.86,69.19,4.7,
01-Feb-2013,05:45,01-Feb-2013,06:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.42,0.0,,,30.21,47.76,77.87,4.74,
01-Feb-2013,06:00,01-Feb-2013,06:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.88,0.0,,,40.95,69.43,110.34,5.54,
01-Feb-2013,06:15,01-Feb-2013,06:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.99,0.0,,,38.73,63.43,102.18,11.13,
01-Feb-2013,06:30,01-Feb-2013,06:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.21,0.0,,,37.3,58.04,95.41,9.67,
01-Feb-2013,06:45,01-Feb-2013,07:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.15,0.0,,,35.02,50.97,85.97,15.03,
01-Feb-2013,07:00,01-Feb-2013,07:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.14,0.0,,,35.89,54.94,90.81,10.27,
01-Feb-2013,07:15,01-Feb-2013,07:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.1,0.0,,,37.66,59.53,97.13,9.66,
01-Feb-2013,07:30,01-Feb-2013,07:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.39,0.0,,,40.14,65.29,105.47,11.31,
01-Feb-2013,07:45,01-Feb-2013,08:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.17,0.0,,,36.86,58.44,95.31,10.36,
01-Feb-2013,08:00,01-Feb-2013,08:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.95,0.0,,,33.25,55.22,88.51,10.32,
01-Feb-2013,08:15,01-Feb-2013,08:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.61,0.0,,,29.13,49.27,78.43,7.87,
01-Feb-2013,08:30,01-Feb-2013,08:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.54,0.0,,,27.36,43.82,71.23,7.33,
01-Feb-2013,08:45,01-Feb-2013,09:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.52,0.0,,,23.33,35.33,58.7,5.95,
01-Feb-2013,09:00,01-Feb-2013,09:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.56,0.0,,,19.83,31.7,51.55,4.87,
01-Feb-2013,09:15,01-Feb-2013,09:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.99,0.0,,,22.06,32.25,54.28,8.43,
01-Feb-2013,09:30,01-Feb-2013,09:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.77,0.0,,,28.71,36.6,65.3,29.85,
01-Feb-2013,09:45,01-Feb-2013,10:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.32,0.0,,,29.39,34.95,64.37,8.41,
01-Feb-2013,10:00,01-Feb-2013,10:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.51,0.0,,,29.49,30.7,60.23,14.33,
01-Feb-2013,10:15,01-Feb-2013,10:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.59,0.0,,,28.52,26.68,55.23,12.08,
01-Feb-2013,10:30,01-Feb-2013,10:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.6,0.0,,,27.21,21.59,48.83,4.21,
01-Feb-2013,10:45,01-Feb-2013,11:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.33,0.0,,,31.44,18.62,50.07,5.07,
01-Feb-2013,11:00,01-Feb-2013,11:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.69,0.0,,,38.8,17.44,56.24,4.75,
01-Feb-2013,11:15,01-Feb-2013,11:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.91,0.0,,,41.08,15.46,56.56,2.76,
01-Feb-2013,11:30,01-Feb-2013,11:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.59,0.0,,,32.88,13.46,46.35,3.96,
01-Feb-2013,11:45,01-Feb-2013,12:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.33,0.0,,,24.74,12.17,36.93,7.91,
01-Feb-2013,12:00,01-Feb-2013,12:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.26,0.0,,,18.49,11.55,30.05,11.29,
01-Feb-2013,12:15,01-Feb-2013,12:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.06,0.0,,,16.73,10.9,27.64,17.43,
01-Feb-2013,12:30,01-Feb-2013,12:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.69,0.0,,,11.08,10.21,21.29,26.03,
01-Feb-2013,12:45,01-Feb-2013,13:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.73,0.0,,,10.75,10.03,20.78,31.45,
01-Feb-2013,13:00,01-Feb-2013,13:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.64,0.0,,,11.44,9.88,21.32,38.31,
01-Feb-2013,13:15,01-Feb-2013,13:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.52,0.0,,,11.52,9.85,21.37,43.85,
01-Feb-2013,13:30,01-Feb-2013,13:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.29,0.0,,,6.79,9.79,16.58,42.42,
01-Feb-2013,13:45,01-Feb-2013,14:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.29,0.0,,,5.4,9.82,15.22,44.51,
01-Feb-2013,14:00,01-Feb-2013,14:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.2,0.0,,,6.17,9.68,15.86,48.45,
01-Feb-2013,14:15,01-Feb-2013,14:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.14,0.0,,,7.01,9.73,16.74,50.97,
01-Feb-2013,14:30,01-Feb-2013,14:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.17,0.0,,,8.27,9.85,18.12,52.95,
01-Feb-2013,14:45,01-Feb-2013,15:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.04,0.0,,,5.43,9.86,15.29,52.2,
01-Feb-2013,15:00,01-Feb-2013,15:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.07,0.0,,,4.71,9.86,14.58,54.73,
01-Feb-2013,15:15,01-Feb-2013,15:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.11,0.0,,,5.36,9.79,15.15,50.24,
01-Feb-2013,15:30,01-Feb-2013,15:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.14,0.0,,,6.0,9.84,15.83,47.91,
01-Feb-2013,15:45,01-Feb-2013,16:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.15,0.0,,,6.68,9.89,16.56,42.56,
01-Feb-2013,16:00,01-Feb-2013,16:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.12,0.0,,,6.52,9.96,16.49,43.39,
01-Feb-2013,16:15,01-Feb-2013,16:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.09,0.0,,,7.19,10.02,17.21,39.85,
01-Feb-2013,16:30,01-Feb-2013,16:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.1,0.0,,,7.86,10.14,17.99,31.54,
01-Feb-2013,16:45,01-Feb-2013,17:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.17,0.0,,,8.59,10.48,19.07,25.74,
01-Feb-2013,17:00,01-Feb-2013,17:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.21,0.0,,,8.94,10.67,19.61,22.65,
01-Feb-2013,17:15,01-Feb-2013,17:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.26,0.0,,,8.61,10.35,18.96,20.11,
01-Feb-2013,17:30,01-Feb-2013,17:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.31,0.0,,,9.78,10.37,20.15,13.19,
01-Feb-2013,17:45,01-Feb-2013,18:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.44,0.0,,,12.76,10.43,23.18,9.18,
01-Feb-2013,18:00,01-Feb-2013,18:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.51,0.0,,,14.95,10.57,25.52,8.1,
01-Feb-2013,18:15,01-Feb-2013,18:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.86,0.0,,,16.93,11.79,28.73,7.52,
01-Feb-2013,18:30,01-Feb-2013,18:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.06,0.0,,,18.27,11.6,29.85,9.21,
01-Feb-2013,18:45,01-Feb-2013,19:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.85,0.0,,,23.47,13.24,36.72,8.68,
01-Feb-2013,19:00,01-Feb-2013,19:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.09,0.0,,,23.85,15.0,38.87,7.48,
01-Feb-2013,19:15,01-Feb-2013,19:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.06,0.0,,,25.78,15.18,40.96,5.69,
01-Feb-2013,19:30,01-Feb-2013,19:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.76,0.0,,,26.98,14.63,41.63,4.79,
01-Feb-2013,19:45,01-Feb-2013,20:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.86,0.0,,,29.39,18.74,48.14,5.37,
01-Feb-2013,20:00,01-Feb-2013,20:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.41,0.0,,,33.54,25.22,58.81,4.8,
01-Feb-2013,20:15,01-Feb-2013,20:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.21,0.0,,,39.21,35.8,75.06,6.55,
01-Feb-2013,20:30,01-Feb-2013,20:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,6.06,0.0,,,41.12,40.24,81.36,6.16,
01-Feb-2013,20:45,01-Feb-2013,21:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.5,0.0,,,36.78,38.38,75.14,5.26,
01-Feb-2013,21:00,01-Feb-2013,21:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.66,0.0,,,36.2,36.79,73.01,5.58,
01-Feb-2013,21:15,01-Feb-2013,21:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.57,0.0,,,37.95,40.51,78.47,6.6,
01-Feb-2013,21:30,01-Feb-2013,21:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.5,0.0,,,41.03,43.04,84.08,7.08,
01-Feb-2013,21:45,01-Feb-2013,22:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.77,0.0,,,44.66,51.26,96.0,9.02,
01-Feb-2013,22:00,01-Feb-2013,22:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,6.71,0.0,,,54.05,65.29,119.4,10.53,
01-Feb-2013,22:15,01-Feb-2013,22:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,7.03,0.0,,,58.99,71.3,130.27,10.16,
01-Feb-2013,22:30,01-Feb-2013,22:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,6.97,0.0,,,52.55,69.78,122.32,9.27,
01-Feb-2013,22:45,01-Feb-2013,23:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,6.0,0.0,,,48.8,59.89,108.65,8.33,
01-Feb-2013,23:00,01-Feb-2013,23:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.75,0.0,,,48.16,57.11,105.26,7.5,
01-Feb-2013,23:15,01-Feb-2013,23:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.82,0.0,,,44.32,58.19,102.57,7.57,
01-Feb-2013,23:30,01-Feb-2013,23:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,6.16,0.0,,,49.95,66.43,116.38,8.12,
01-Feb-2013,23:45,02-Feb-2013,00:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.88,0.0,,,47.84,63.32,111.15,8.06,
02-Feb-2013,00:00,02-Feb-2013,00:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.57,0.0,,,48.34,61.26,109.59,7.49,
02-Feb-2013,00:15,02-Feb-2013,00:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.22,0.0,,,48.14,57.5,105.6,6.88,
02-Feb-2013,00:30,02-Feb-2013,00:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.24,0.0,,,45.44,56.9,102.38,6.78,
02-Feb-2013,00:45,02-Feb-2013,01:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.46,0.0,,,47.92,61.43,109.35,6.88,
02-Feb-2013,01:00,02-Feb-2013,01:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.15,0.0,,,45.24,56.37,101.6,6.35,
02-Feb-2013,01:15,02-Feb-2013,01:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.04,0.0,,,41.99,56.88,98.86,5.76,
02-Feb-2013,01:30,02-Feb-2013,01:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.9,0.0,,,38.39,56.38,94.77,5.48,
02-Feb-2013,01:45,02-Feb-2013,02:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.54,0.0,,,43.98,64.68,108.73,6.88,
02-Feb-2013,02:00,02-Feb-2013,02:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.79,0.0,,,48.83,74.97,123.86,6.95,
02-Feb-2013,02:15,02-Feb-2013,02:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.84,0.0,,,51.51,81.84,133.34,6.84,
02-Feb-2013,02:30,02-Feb-2013,02:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.52,0.0,,,46.68,72.58,119.23,6.27,
02-Feb-2013,02:45,02-Feb-2013,03:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,5.34,0.0,,,43.59,72.02,115.54,5.91,
02-Feb-2013,03:00,02-Feb-2013,03:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.91,0.0,,,36.81,57.92,94.68,5.83,
02-Feb-2013,03:15,02-Feb-2013,03:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.52,0.0,,,33.35,48.77,82.07,5.6,
02-Feb-2013,03:30,02-Feb-2013,03:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.98,0.0,,,28.08,38.27,66.28,4.91,
02-Feb-2013,03:45,02-Feb-2013,04:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.7,0.0,,,24.39,30.95,55.34,4.91,
02-Feb-2013,04:00,02-Feb-2013,04:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.61,0.0,,,22.89,29.65,52.53,4.59,
02-Feb-2013,04:15,02-Feb-2013,04:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.78,0.0,,,23.75,34.39,58.19,4.53,
02-Feb-2013,04:30,02-Feb-2013,04:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.79,0.0,,,25.94,36.64,62.58,4.12,
02-Feb-2013,04:45,02-Feb-2013,05:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.81,0.0,,,25.84,39.69,65.54,4.23,
02-Feb-2013,05:00,02-Feb-2013,05:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.83,0.0,,,25.46,41.66,67.13,4.34,
02-Feb-2013,05:15,02-Feb-2013,05:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.73,0.0,,,23.0,38.7,61.68,4.4,
02-Feb-2013,05:30,02-Feb-2013,05:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.64,0.0,,,20.13,35.98,56.11,4.11,
02-Feb-2013,05:45,02-Feb-2013,06:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.72,0.0,,,21.23,37.02,58.25,4.65,
02-Feb-2013,06:00,02-Feb-2013,06:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.94,0.0,,,21.72,36.94,58.65,6.31,
02-Feb-2013,06:15,02-Feb-2013,06:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.63,0.0,,,19.49,31.52,50.99,4.79,
02-Feb-2013,06:30,02-Feb-2013,06:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,4.04,0.0,,,22.36,32.02,54.4,6.33,
02-Feb-2013,06:45,02-Feb-2013,07:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.91,0.0,,,21.78,33.35,55.11,5.97,
02-Feb-2013,07:00,02-Feb-2013,07:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.7,0.0,,,19.31,28.92,48.23,4.88,
02-Feb-2013,07:15,02-Feb-2013,07:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.64,0.0,,,19.22,28.31,47.51,4.73,
02-Feb-2013,07:30,02-Feb-2013,07:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.37,0.0,,,18.08,27.27,45.31,3.51,
02-Feb-2013,07:45,02-Feb-2013,08:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.38,0.0,,,15.08,20.29,35.37,4.18,
02-Feb-2013,08:00,02-Feb-2013,08:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.77,0.0,,,18.11,23.11,41.26,3.91,
02-Feb-2013,08:15,02-Feb-2013,08:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.56,0.0,,,21.59,28.73,50.35,3.57,
02-Feb-2013,08:30,02-Feb-2013,08:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.78,0.0,,,24.06,32.71,56.77,3.92,
02-Feb-2013,08:45,02-Feb-2013,09:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.64,0.0,,,22.01,27.32,49.29,4.1,
02-Feb-2013,09:00,02-Feb-2013,09:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.62,0.0,,,23.05,23.08,46.11,4.75,
02-Feb-2013,09:15,02-Feb-2013,09:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.85,0.0,,,23.71,20.76,44.45,5.63,
02-Feb-2013,09:30,02-Feb-2013,09:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.63,0.0,,,25.18,17.01,42.17,4.54,
02-Feb-2013,09:45,02-Feb-2013,10:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.5,0.0,,,23.29,14.19,37.47,4.69,
02-Feb-2013,10:00,02-Feb-2013,10:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.33,0.0,,,18.93,12.76,31.69,4.75,
02-Feb-2013,10:15,02-Feb-2013,10:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.98,0.0,,,15.82,11.79,27.61,4.28,
02-Feb-2013,10:30,02-Feb-2013,10:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.1,0.0,,,18.4,11.91,30.3,5.63,
02-Feb-2013,10:45,02-Feb-2013,11:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.16,0.0,,,17.96,11.73,29.69,7.4,
02-Feb-2013,11:00,02-Feb-2013,11:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.05,0.0,,,15.67,11.17,26.83,7.36,
02-Feb-2013,11:15,02-Feb-2013,11:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.06,0.0,,,15.82,11.09,26.91,7.94,
02-Feb-2013,11:30,02-Feb-2013,11:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.96,0.0,,,13.95,10.74,24.69,8.28,
02-Feb-2013,11:45,02-Feb-2013,12:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.92,0.0,,,14.93,10.76,25.69,9.49,
02-Feb-2013,12:00,02-Feb-2013,12:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.96,0.0,,,16.27,10.65,26.92,10.7,
02-Feb-2013,12:15,02-Feb-2013,12:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.16,0.0,,,18.31,10.19,28.5,17.6,
02-Feb-2013,12:30,02-Feb-2013,12:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.32,0.0,,,17.1,9.96,27.06,26.65,
02-Feb-2013,12:45,02-Feb-2013,13:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,3.33,0.0,,,15.58,9.83,25.42,33.02,
02-Feb-2013,13:00,02-Feb-2013,13:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.89,0.0,,,10.53,9.71,20.23,31.74,
02-Feb-2013,13:15,02-Feb-2013,13:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.85,0.0,,,17.05,9.85,26.91,32.67,
02-Feb-2013,13:30,02-Feb-2013,13:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.69,0.0,,,8.83,9.57,18.4,40.27,
02-Feb-2013,13:45,02-Feb-2013,14:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,0.0,,,2.56,0.0,,,5.46,9.47,14.93,45.68,
